Date,Balduzzi,Burns,DeLeo,Diedrichsen,Ferriolo,Forman,Hartsch,LaCroix,McCann,Medico,Pla,Ricci,Rodrigo,Smyth,Wasyliw
44801,1.1197,0.034,,,1.2225,,,,0.0397,0.0249,1.2064,,0.7357,,0.2395
44804,1.1933,0.0526,,,0.0535,,,,0.6459,0.0496,1.1617,,0.87,,0.359
44808,1.0923,0.0237,,,0.0646,,,,0.7121,0.0199,0.9675,,0.9504,,0.4599
44813,1.3458,0.0769,,,0.6992,,,,0.3307,1.0253,1.1976,,0.7411,,0.4209
44815,1.2302,0.0463,,,0.0412,,,,1.4628,1.1134,1.1075,,0.0664,,1.1861
44820,0.9675,,,,0.0137,,,,1.1984,0.7768,0.8508,,1.1303,,0.9375
44822,1.1731,,,,0.1081,,,,1.4986,0.7526,1.0793,,1.1322,,0.7948
44827,1.1563,,,,0.0659,,,,1.3351,0.2983,1.0238,,1.1002,,1.0996
44829,1.1376,,,,0.0748,,,,1.522,1.1895,1.1552,,1.2289,,
44834,1.3035,0.0965,,,0.0879,,,,1.4522,1.5406,1.1789,,1.1857,,1.1969
44836,1.1457,0.1662,,,0.0922,,,,1.1121,0.5436,1.0335,,1.1176,,0.5972
44841,1.0671,0.0736,,,0.0894,,,,1.3013,0.6092,0.9644,,0.8474,,0.3396
44843,1.3961,0.1287,,,0.1286,,,,1.6266,0.1065,1.1995,,1.2743,,0.547
44848,1.2628,0.0744,,,0.407,,,,1.5157,0.785,1.0064,,1.1619,,0.422
44850,1.1752,0.1221,,,0.0921,,,,1.5366,0.7461,1.0032,,1.1041,,0.9188
44855,1.1299,0.0605,,,0.0833,,,,1.3314,0.0461,0.9833,,1.0182,,0.8971
44862,1.2503,0.1235,,,0.4841,,,,1.4612,0.0621,1.1495,,1.1678,,0.6687
44864,1.1709,0.1089,,,0.1066,,,,1.2476,0.0475,0.997,,1.0454,,0.7416
45010,1.03,0.7707,,,1.2097,,,,1.2473,0.6726,0.942,,0.9739,,0.8212
45035,1.0035,1.0299,,,1.0686,,,,,0.0004,0.9376,,0.0,,0.0
45156,1.1504,0.465,0.3263,0.7044,0.4127,,1.1624,0.9189,0.7815,0.622,1.1389,0.6536,0.0591,0.6666,0.523
45159,0.9404,0.0721,0.0563,0.0808,0.8001,,0.5445,0.0841,0.98,0.4236,0.9948,0.9403,0.4942,,0.6979
45163,1.0933,0.0748,0.0877,0.1339,0.1045,,1.1024,0.1408,1.1022,0.5828,0.9083,0.7505,1.1772,0.8688,
45165,1.1129,,0.6092,0.0969,,,1.1151,0.3994,0.9363,0.4979,1.1513,0.9953,,0.5506,0.061
45170,1.1745,0.0305,0.0317,0.0815,0.0466,,1.3201,0.1063,0.7895,0.822,1.337,1.3238,0.9682,0.71,0.0286
45172,1.0331,0.7658,0.027,0.0505,0.0203,,0.9693,0.0795,1.1908,0.6815,1.1123,0.6305,0.837,0.7854,0.0576
45177,1.1436,,0.0421,0.0519,0.0354,,0.7868,0.0962,1.1081,0.039,0.806,1.2604,,1.2966,0.7293
45179,1.3115,0.0793,0.099,0.0932,0.069,,0.8313,0.1197,1.4207,0.0662,1.0744,1.1443,0.8665,1.0518,0.4212
45184,,0.0476,0.0386,0.0761,0.035,,1.0305,0.0971,1.2287,0.0347,1.0844,1.1586,1.2228,,0.3429
45186,,0.0926,0.0697,0.1107,,,1.1938,0.1442,1.4583,0.5591,1.2339,0.0,1.4122,,0.4784
45191,,0.0628,0.074,0.0861,,,1.173,,1.4196,0.7409,1.1901,0.0,0.9332,0.9008,0.346
45198,,0.0289,,,,,1.1112,,1.3549,0.1507,1.0501,1.2649,,1.0019,0.6667
45200,,0.4578,,,,,1.0824,,1.2856,0.6486,1.0479,1.1046,0.8416,0.94,0.3913
45205,,0.0576,0.5243,0.1019,,,1.23,,1.469,0.395,1.2265,1.4736,1.0025,0.8828,0.4126
45207,,0.0699,,0.0812,,,1.0975,,,0.9823,1.2016,1.2806,1.03,1.0939,0.5468
45212,,0.013,,,,,1.0937,,0.8555,0.6041,1.1862,1.1818,0.67,,0.3495
45219,,0.071,0.0526,0.0,,,1.0129,0.0,1.2222,0.0489,1.1018,1.1355,1.0177,1.0146,0.9984
45221,,0.0549,0.0641,0.0498,,,1.0942,,1.388,0.4481,1.0767,1.1963,1.0175,0.9184,0.6046
45226,,0.0659,0.0675,0.0985,,,1.1876,0.0,1.4118,0.4239,1.1764,1.2081,1.2064,1.0135,0.5134
45228,,0.0454,0.029,0.0425,,,1.0305,0.1183,0.8148,0.7231,1.1782,1.2918,0.6151,1.2033,0.6796
45232,,0.0274,0.0498,0.0725,,,0.9659,0.083,1.3701,0.7442,1.1805,1.1709,1.096,0.9149,0.676
45389,,,1.2125,1.2614,,0.9044,1.007,0.8881,1.2129,1.1352,,1.1427,1.1958,1.313,1.0538
45396,1.0122,,0.6765,0.6668,0.9389,0.8214,0.9871,0.7793,1.1262,1.0364,,1.1781,0.8962,0.9065,1.0547
45409,,,,1.1035,,0.6639,0.8423,0.8312,0.94,0.9019,,1.1926,0.918,0.9577,0.9265
