Date,Balduzzi,Burns,DeLeo,Diedrichsen,Ferriolo,Hartsch,LaCroix,McCann,Medico,Pla,Ricci,Rodrigo,Smyth,Wasyliw
45161,22.1592,25.2323,25.0166,24.5392,25.631,22.0092,29.3686,28.9519,23.3461,23.203,23.1189,21.9715,26.1689,24.3913
45163,67.0607,19.5268,21.0065,23.0541,21.0394,57.3728,26.1866,70.1494,31.4622,59.2772,38.813,63.6461,55.752,
45164,,31.9695,32.9678,,31.5506,28.9427,34.5683,24.9233,28.6314,26.71,26.0884,27.4615,35.637,
45165,62.209,,26.6355,25.0399,,56.6425,25.4453,69.3925,50.9096,64.1437,65.5083,,45.7406,26.6834
45167,53.9349,60.3084,54.1327,54.9502,47.6163,47.7357,52.1189,57.7828,51.2281,53.3311,,53.3585,54.3712,54.5704
45168,28.5987,,32.0559,25.9114,,30.8796,31.9703,37.1292,29.3318,29.5077,31.9493,31.1867,14.412,33.7684
45169,,42.5337,37.8507,33.4925,,36.091,44.6828,44.4343,40.151,35.9349,41.3886,38.8179,44.14,41.456
45170,62.7451,20.3872,12.9368,16.3306,17.295,66.6699,17.2651,65.7224,24.8155,62.7252,56.9541,58.3631,53.0338,21.2109
45171,,36.0811,31.9053,32.6453,35.1076,34.9965,32.8477,35.4198,32.4144,31.6697,34.3763,,,35.0995
45172,54.5117,26.5283,21.5274,27.2018,6.7293,60.3861,22.8454,54.6892,32.8632,65.0133,59.6316,43.0421,56.1537,27.88
45175,32.5872,,25.3692,30.1687,,38.9976,37.5726,28.8525,23.6408,26.8168,28.0142,29.0273,,29.3945
45177,62.7391,,14.8679,17.0925,19.0591,60.4978,17.5016,66.8132,25.2095,53.7226,51.6906,,57.418,26.2449
45178,27.9426,39.8361,35.4271,35.0782,37.5004,35.744,39.3826,36.1201,39.8881,26.0072,42.2213,41.3158,38.8858,37.7508
45179,53.6815,16.3983,15.6751,16.3638,16.6927,56.9766,18.4973,70.6999,21.9928,59.4893,54.1479,53.1931,59.7235,19.5377
45181,19.7596,45.2671,44.2679,42.3168,,,46.3815,47.3484,42.2206,38.5626,45.167,39.3499,46.1771,41.2773
45182,,,33.4713,34.3977,,39.1199,35.3224,43.5226,39.0269,38.8493,37.6298,39.3543,45.7762,41.6639
45183,,28.4756,23.2387,23.8541,,32.1503,29.5138,34.1451,28.6656,28.6381,28.1612,28.6513,30.5091,26.1141
45184,,11.7351,18.6047,22.9799,20.1317,65.1613,24.7397,70.1869,29.3218,65.475,58.6061,62.4507,54.6584,38.6082
45186,,17.8903,17.2594,18.666,,63.7072,22.0174,73.9368,31.4509,62.5488,79.3654,68.3122,,38.108
45188,,41.4541,39.5742,39.8105,,39.8099,45.9361,40.7603,39.7022,37.5428,40.2916,36.6681,43.2317,37.3525
45189,,1.3893,40.2776,40.2938,,43.7551,,44.0867,45.1952,36.1844,45.6236,44.1666,,39.6742
45190,,,,23.7103,,35.2246,32.3517,,36.5697,31.073,17.7662,36.4517,33.9709,34.6772
45191,,27.7346,17.2067,18.8955,,64.935,,74.0576,36.5702,63.0935,57.4514,54.4156,55.1354,28.9818
45194,,47.7952,41.9479,44.8114,,41.2222,41.5664,,,42.7887,40.4571,44.1494,,46.7672
45195,,,34.1897,33.9487,,40.9814,42.3065,45.908,40.3926,40.3609,36.4015,41.2782,,43.1874
45196,,,27.3187,25.4987,,31.1715,33.333,32.4318,29.0237,32.4985,29.6354,0.0,,33.6946
45197,,30.6831,,,,29.5445,,33.5823,33.4992,22.1699,26.9945,,,30.7307
45198,,27.5092,,,,71.1209,,70.8286,34.3398,68.7071,78.4555,,58.2007,32.3721
45199,,,,,,32.3862,,36.2993,31.3575,23.7739,38.039,,,33.4901
45200,,45.7693,,,,62.6672,,61.9145,45.4352,59.0129,61.3411,59.2875,47.2217,50.5431
45202,,,40.7032,44.8694,,38.7827,45.1729,44.0417,41.8774,39.0539,42.3017,42.2355,46.5569,41.0331
45203,,35.3282,35.7719,,27.0541,29.4317,33.761,34.2764,,30.979,36.7059,35.6734,35.059,32.9322
45204,,15.8974,21.927,14.9877,,21.6914,,20.685,18.2614,16.9902,22.7086,19.9877,26.5287,21.0517
45205,,28.396,27.559,22.1982,,55.0021,,72.8881,26.1599,64.885,78.8594,70.3454,62.8793,34.8606
45207,,27.8002,23.755,23.7122,,71.1436,22.2093,77.8825,41.5352,69.7764,79.0678,70.0363,61.6353,36.5012
45209,,51.2828,39.0173,31.3434,,37.567,36.2358,42.8423,38.7987,40.2851,37.6916,34.9636,41.2735,34.2476
45210,,,36.0671,34.5743,,35.3034,10.1315,39.7069,36.3412,31.36,30.976,30.5529,,37.7088
45211,,35.0604,,,,28.2377,,38.4699,29.7381,28.5063,31.5948,26.6942,,29.7583
45212,,27.8221,,,,59.9256,,60.6972,38.1698,69.7878,71.7009,51.5958,,37.4293
45216,,32.0538,35.2615,32.3222,,33.0386,,,,33.3211,38.5522,33.4404,35.8064,
45217,,,38.7489,33.2708,,,39.4302,41.5551,36.1916,36.5553,43.0381,35.8551,,36.0207
45218,,37.1439,29.1093,27.9474,,27.4692,32.3496,33.9996,29.9748,26.3462,36.5259,29.2448,33.6422,30.9199
45219,,7.1273,24.1549,31.2021,,68.2338,30.042,69.2293,30.7432,76.5738,69.5754,68.9976,66.3954,59.6731
45220,,,19.6469,14.411,,22.7647,7.0144,19.4199,17.8277,16.0277,16.5032,18.8507,21.8793,19.2992
45221,,5.8215,18.9969,17.1997,,62.7316,,65.1996,25.8618,64.4425,69.3792,64.4183,61.0147,34.9469
45223,,40.6016,,26.3119,,39.9203,,38.6714,39.9039,29.0335,35.709,29.7089,45.4021,34.77
45224,,,36.9229,20.6789,,30.7524,32.3298,36.2273,40.527,29.6641,36.3235,26.8053,33.8998,36.3064
45226,,16.5977,17.2535,14.7598,,61.2672,3.1206,70.6123,44.3527,68.0577,69.6504,60.8879,64.0179,32.1383
45228,,17.3695,15.651,7.4124,,65.3317,20.4471,52.636,39.0938,67.0844,65.2208,55.8152,62.7818,38.833
45232,,19.1204,16.5312,17.2323,,62.0184,19.789,75.778,47.0908,67.6344,63.4852,64.9423,37.8107,35.9001
