Date,Balduzzi,Burns,DeLeo,Diedrichsen,Ferriolo,Forman,Hartsch,LaCroix,McCann,Medico,Pla,Ricci,Rodrigo,Smyth,Wasyliw
44801,5.8845,1.32,,,5.5378,,,,6.6845,1.46,5.2667,,6.0267,,6.3378
44804,6.9156,5.2356,,,4.3378,,,,5.9423,4.2089,5.5112,,6.2756,,6.3512
44808,7.3378,1.9111,,,1.6667,,,,5.9467,0.8267,6.06,,6.1912,,5.9378
44813,6.1023,0.8,,,6.5467,,,,6.5089,6.9312,5.3556,,6.3401,,6.2489
44815,5.7934,3.9867,,,4.3289,,,,5.7912,7.1623,6.1623,,5.7423,,6.1067
44820,5.9467,,,,3.9334,,,,6.3112,7.1445,5.8356,,5.8623,,5.8512
44822,6.0156,,,,1.2356,,,,5.7823,6.8978,4.96,,6.0245,,6.6934
44827,5.7867,,,,1.7289,,,,6.0845,6.9867,5.9423,,5.6312,,6.6801
44829,6.0023,,,,2.0934,,,,5.7112,5.9156,5.9356,,6.0223,,
44834,7.2423,4.4356,,,1.8222,,,,6.7823,6.4267,6.4845,,6.3778,,7.0667
44836,6.6112,1.9645,,,1.3578,,,,5.9556,6.4134,5.0712,,6.7023,,6.7623
44841,5.7089,3.3556,,,4.1778,,,,5.5467,3.0822,5.4112,,6.5601,,5.9889
44843,6.7467,5.1556,,,4.2889,,,,6.0667,4.3845,5.9578,,5.6978,,6.0912
44848,6.9423,3.96,,,1.6133,,,,6.2934,1.2267,5.7334,,6.2889,,5.5689
44850,5.4978,4.2489,,,1.0,,,,6.4134,1.1867,5.9778,,6.8178,,7.2289
44855,7.0801,4.5689,,,3.7645,,,,6.0134,3.6711,5.0934,,6.3712,,6.4089
44862,6.4445,3.48,,,4.1,,,,6.2223,3.2356,5.7378,,5.7934,,6.3223
44864,6.1734,3.52,,,3.9734,,,,6.5978,3.5867,5.2134,,5.8245,,6.6512
45010,6.0512,6.0489,,,6.4712,,,,5.66,5.9845,6.3334,,5.48,,7.1112
45035,5.7512,5.6356,,,5.9156,,,,,5.6778,5.3067,,2.5222,,0.0
45156,6.6978,5.4889,0.3911,5.4578,6.4445,,6.6489,0.8311,5.7489,5.7378,6.7956,5.9956,0.9533,6.9001,5.9467
45159,5.8045,1.4222,1.3378,4.42,1.5156,,5.6267,1.0489,6.1823,6.8601,6.4178,5.2445,6.3734,,1.1333
45163,6.3267,1.4445,1.5978,4.3978,1.7022,,5.9756,2.0734,6.1934,5.0689,5.7689,5.3734,6.2801,6.1467,
45165,5.68,,3.7334,4.2045,,,5.6534,4.2956,6.3756,5.8845,6.1289,5.7245,,5.9689,6.4223
45170,5.6334,3.4867,3.9378,3.3822,3.9423,,5.6445,3.78,5.8667,3.3689,5.6823,6.1756,6.7289,6.3245,3.9889
45172,7.1312,1.5422,1.4445,1.36,0.0556,,7.0801,1.2822,7.3356,1.24,6.3112,7.5223,6.5867,7.6245,6.3801
45177,5.9378,,1.5622,1.0045,1.0133,,6.1156,1.2156,6.2756,6.7201,5.0134,6.6867,,7.0267,0.8511
45179,6.4912,1.48,1.4756,1.6133,1.3333,,6.1334,1.2711,6.2889,6.4489,6.4223,6.4534,6.1734,6.9934,1.5422
45184,,1.1022,1.4045,1.38,1.4067,,6.4267,1.72,6.5889,6.4445,6.9867,6.9867,5.9445,,6.5823
45186,,1.7689,1.4378,1.2333,,,6.6534,1.5467,6.9578,1.6711,5.6356,1.0267,6.3467,,7.2801
45191,,3.3734,3.54,2.9911,,,6.6356,,5.7156,6.6067,5.9467,0.0,6.1934,6.4756,6.6712
45198,,3.4223,,,,,6.6534,,6.5978,6.1245,6.3934,7.2823,,6.7889,5.5467
45200,,3.3334,,,,,6.5423,,6.6267,6.0,6.2845,6.0489,5.8312,6.4267,6.4623
45205,,4.72,1.7267,1.2445,,,5.7867,,7.0223,5.6178,5.9112,7.0934,6.3356,7.3689,6.1889
45207,,3.3156,,2.7222,,,6.7245,,,5.8845,7.1245,6.5912,6.2178,6.2845,6.0023
45212,,0.9267,,,,,6.3223,,6.4023,5.9223,6.8578,6.6534,5.9023,,5.7245
45219,,1.2622,1.1645,0.3822,,,6.2378,0.0,6.9823,1.4267,7.0889,6.8934,6.9245,7.5067,6.1423
45221,,1.7667,1.4089,1.0489,,,6.0978,,6.0889,5.9734,6.2512,5.9378,6.12,7.2578,5.9112
45226,,0.9245,2.5911,0.9778,,,6.0623,0.0,5.8045,5.3823,5.4667,6.9245,6.0867,7.2601,6.0667
45228,,2.7956,3.1822,2.42,,,6.8312,3.6223,6.8312,6.6512,6.5378,6.2778,6.0712,7.7378,6.2178
45232,,3.36,2.0111,2.2711,,,5.54,2.98,6.7423,6.9045,5.7112,4.9978,5.5,6.3689,6.2667
45389,,,6.8134,6.1112,,6.3089,7.0623,6.2223,6.7023,5.9778,,7.1378,6.3023,6.9912,7.4045
45396,5.5289,,5.3023,6.2778,6.6734,6.6378,5.9334,5.5356,6.7756,5.52,,6.5134,5.5312,6.0534,5.8312
45409,,,,5.8489,,5.6934,6.9245,5.5645,7.4445,5.4356,,6.4445,5.9156,7.0356,5.9645
